species,deviance,null_mod,index,resolution,dev_explained,kind,index2
Agrostis schraderiana,0.2081882910167029,0.1361607240263606,TR3,7,0.0720275669903423,species,Terrain Ruggedness Index 3×3 (TR3)
Agrostis schraderiana,0.22684928187246312,0.1361607240263606,TR3,15,0.09068855784610252,species,Terrain Ruggedness Index 3×3 (TR3)
Agrostis schraderiana,0.23302964681161545,0.1361607240263606,TR3,19,0.09686892278525484,species,Terrain Ruggedness Index 3×3 (TR3)
Agrostis schraderiana,0.2364676722290464,0.1361607240263606,TR3,25,0.10030694820268582,species,Terrain Ruggedness Index 3×3 (TR3)
Agrostis schraderiana,0.2368711101069267,0.1361607240263606,TR3,31,0.10071038608056616,species,Terrain Ruggedness Index 3×3 (TR3)
Agrostis schraderiana,0.23627171196714725,0.1361607240263606,TR3,51,0.10011098794078666,species,Terrain Ruggedness Index 3×3 (TR3)
Agrostis schraderiana,0.2343014763502802,0.1361607240263606,TR3,71,0.0981407523239196,species,Terrain Ruggedness Index 3×3 (TR3)
Agrostis schraderiana,0.2316884231965085,0.1361607240263606,TR3,101,0.09552769917014792,species,Terrain Ruggedness Index 3×3 (TR3)
Agrostis schraderiana,0.22830283483926583,0.1361607240263606,TR3,151,0.09214211081290524,species,Terrain Ruggedness Index 3×3 (TR3)
Agrostis schraderiana,0.22661864495259543,0.1361607240263606,TR3,201,0.09045792092623484,species,Terrain Ruggedness Index 3×3 (TR3)
Agrostis schraderiana,0.21659421876093876,0.1361607240263606,TR3,301,0.08043349473457817,species,Terrain Ruggedness Index 3×3 (TR3)
Agrostis schraderiana,0.19982939250102016,0.1361607240263606,TR5,1,0.06366866847465957,species,Terrain Ruggedness Index 5×5 (TR5)
Agrostis schraderiana,0.20407236438662169,0.1361607240263606,TR5,3,0.0679116403602611,species,Terrain Ruggedness Index 5×5 (TR5)
Agrostis schraderiana,0.21641302199393309,0.1361607240263606,TR5,7,0.0802522979675725,species,Terrain Ruggedness Index 5×5 (TR5)
Agrostis schraderiana,0.2348756465913612,0.1361607240263606,TR5,15,0.09871492256500058,species,Terrain Ruggedness Index 5×5 (TR5)
Agrostis schraderiana,0.23579712704672773,0.1361607240263606,TR5,19,0.09963640302036714,species,Terrain Ruggedness Index 5×5 (TR5)
Agrostis schraderiana,0.23633585769219245,0.1361607240263606,TR5,25,0.10017513366583186,species,Terrain Ruggedness Index 5×5 (TR5)
Agrostis schraderiana,0.23461609720497645,0.1361607240263606,TR5,31,0.09845537317861586,species,Terrain Ruggedness Index 5×5 (TR5)
Agrostis schraderiana,0.2314045123529025,0.1361607240263606,TR5,51,0.0952437883265419,species,Terrain Ruggedness Index 5×5 (TR5)
Agrostis schraderiana,0.22943923332362537,0.1361607240263606,TR5,71,0.09327850929726478,species,Terrain Ruggedness Index 5×5 (TR5)
Agrostis schraderiana,0.22621629705850144,0.1361607240263606,TR5,101,0.09005557303214085,species,Terrain Ruggedness Index 5×5 (TR5)
Agrostis schraderiana,0.21827503603218756,0.1361607240263606,TR5,151,0.08211431200582697,species,Terrain Ruggedness Index 5×5 (TR5)
Agrostis schraderiana,0.2082236094883817,0.1361607240263606,TR5,201,0.07206288546202111,species,Terrain Ruggedness Index 5×5 (TR5)
Agrostis schraderiana,0.1853155165376491,0.1361607240263606,TR5,301,0.04915479251128851,species,Terrain Ruggedness Index 5×5 (TR5)
Agrostis schraderiana,0.16276195594076703,0.1361607240263606,TWI,1,0.02660123191440644,species,Topographic Wetness Index (TWI)
Agrostis schraderiana,0.15620348982704635,0.1361607240263606,TWI,3,0.02004276580068575,species,Topographic Wetness Index (TWI)
Agrostis schraderiana,0.16125097993589776,0.1361607240263606,TWI,7,0.02509025590953717,species,Topographic Wetness Index (TWI)
Agrostis schraderiana,0.1634668497009616,0.1361607240263606,TWI,15,0.027306125674601,species,Topographic Wetness Index (TWI)
Agrostis schraderiana,0.16526887414793268,0.1361607240263606,TWI,19,0.02910815012157208,species,Topographic Wetness Index (TWI)
Agrostis schraderiana,0.17044314885440626,0.1361607240263606,TWI,25,0.03428242482804566,species,Topographic Wetness Index (TWI)
Agrostis schraderiana,0.17229898417325185,0.1361607240263606,TWI,31,0.03613826014689125,species,Topographic Wetness Index (TWI)
Agrostis schraderiana,0.17958803656308286,0.1361607240263606,TWI,51,0.04342731253672227,species,Topographic Wetness Index (TWI)
Agrostis schraderiana,0.188246880506738,0.1361607240263606,TWI,71,0.0520861564803774,species,Topographic Wetness Index (TWI)
Agrostis schraderiana,0.20063868488952707,0.1361607240263606,TWI,101,0.06447796086316648,species,Topographic Wetness Index (TWI)
Agrostis schraderiana,0.2141133981365421,0.1361607240263606,TWI,151,0.07795267411018147,species,Topographic Wetness Index (TWI)
Agrostis schraderiana,0.2096394789495799,0.1361607240263606,TWI,201,0.07347875492321931,species,Topographic Wetness Index (TWI)
